id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,lotSize
"512-Langhorn-St-SW,-Atlanta,-GA-30310","512 Langhorn St SW, Atlanta, GA 30310",512 Langhorn St SW,,Atlanta,GA,30310,Fulton,33.741143,-84.432039,Single Family,3,1.5,1455.0,1938.0,Active,450000,2024-04-12T00:00:00.000Z,,2020-09-21T23:34:32.528Z,2024-05-01T00:00:00.000Z,20,7231.0
"1288-Fairhill-Ln-NE,-Brookhaven,-GA-30319","1288 Fairhill Ln NE, Brookhaven, GA 30319",1288 Fairhill Ln NE,,Brookhaven,GA,30319,DeKalb,33.851199,-84.3362,Single Family,3,3.0,1734.0,1955.0,Active,634000,2024-03-19T00:00:00.000Z,,2020-09-21T23:36:20.768Z,2024-05-01T00:00:00.000Z,44,8712.0
"1306-Oak-Grove-Ave-SE,-Atlanta,-GA-30316","1306 Oak Grove Ave SE, Atlanta, GA 30316",1306 Oak Grove Ave SE,,Atlanta,GA,30316,DeKalb,33.743667,-84.34498,Single Family,3,2.0,1032.0,1930.0,Active,529000,2024-04-04T00:00:00.000Z,,2020-09-21T23:53:16.423Z,2024-05-01T00:00:00.000Z,28,4356.0
"1405-Rock-Springs-Rd,-Buford,-GA-30519","1405 Rock Springs Rd, Buford, GA 30519",1405 Rock Springs Rd,,Buford,GA,30519,Gwinnett,34.047139,-83.984963,Single Family,3,2.0,1705.0,2004.0,Active,1600000,2020-09-12T00:00:00.000Z,,2020-09-22T00:00:02.684Z,2024-05-01T00:00:00.000Z,1328,441263.0
"154-Graves-St-NW,-Atlanta,-GA-30314","154 Graves St NW, Atlanta, GA 30314",154 Graves St NW,,Atlanta,GA,30314,Fulton,33.758804,-84.4074,Single Family,3,2.0,1144.0,1920.0,Active,400000,2023-11-03T00:00:00.000Z,,2020-09-22T00:07:40.603Z,2024-05-01T00:00:00.000Z,181,2352.0
"927-N-Eugenia-Pl-NW,-Atlanta,-GA-30318","927 N Eugenia Pl NW, Atlanta, GA 30318",927 N Eugenia Pl NW,,Atlanta,GA,30318,Fulton,33.780309,-84.452091,Single Family,3,2.0,1350.0,1966.0,Active,379000,2024-04-03T00:00:00.000Z,,2020-09-22T00:19:28.035Z,2024-05-01T00:00:00.000Z,29,10001.0
"120-Barrow-Downs,-Alpharetta,-GA-30004","120 Barrow Downs, Alpharetta, GA 30004",120 Barrow Downs,,Alpharetta,GA,30004,Fulton,34.076383,-84.347628,Single Family,3,2.5,4032.0,1985.0,Active,950000,2024-03-26T00:00:00.000Z,,2020-09-22T00:57:02.724Z,2024-05-01T00:00:00.000Z,37,26615.0
"461-Robinson-Ave-SE,-Atlanta,-GA-30315","461 Robinson Ave SE, Atlanta, GA 30315",461 Robinson Ave SE,,Atlanta,GA,30315,Fulton,33.728106,-84.372346,Single Family,3,2.0,1408.0,1945.0,Active,550000,2024-04-11T00:00:00.000Z,,2020-09-22T01:12:47.896Z,2024-05-01T00:00:00.000Z,21,8756.0
"2080-Arminda-Ct,-Alpharetta,-GA-30022","2080 Arminda Ct, Alpharetta, GA 30022",2080 Arminda Ct,,Alpharetta,GA,30022,Fulton,34.044404,-84.276084,Single Family,3,3.5,3215.0,2002.0,Active,920000,2024-03-19T00:00:00.000Z,,2020-09-22T01:20:23.368Z,2024-05-01T00:00:00.000Z,44,5676.0
"239-Midvale-Dr-NE,-Atlanta,-GA-30342","239 Midvale Dr NE, Atlanta, GA 30342",239 Midvale Dr NE,,Atlanta,GA,30342,Fulton,33.872036,-84.379471,Single Family,3,2.5,2415.0,1948.0,Active,925000,2024-04-30T00:00:00.000Z,,2020-09-22T01:30:14.550Z,2024-05-01T00:00:00.000Z,2,9845.0
"7275-Bishop-Rd,-Fairburn,-GA-30213","7275 Bishop Rd, Fairburn, GA 30213",7275 Bishop Rd,,Fairburn,GA,30213,Fulton,33.559764,-84.63573,Single Family,3,2.0,5216.0,1957.0,Active,927000,2023-08-29T00:00:00.000Z,,2020-09-22T01:55:51.471Z,2024-05-01T00:00:00.000Z,247,1225778.0
"3565-Roxboro-Rd-NE,-Atlanta,-GA-30326","3565 Roxboro Rd NE, Atlanta, GA 30326",3565 Roxboro Rd NE,,Atlanta,GA,30326,Fulton,33.852243,-84.357248,Single Family,3,2.0,1972.0,1940.0,Active,890000,2024-04-19T00:00:00.000Z,,2020-09-22T02:01:03.173Z,2024-05-01T00:00:00.000Z,13,18300.0
"721-Reed-St-SE,-Atlanta,-GA-30315","721 Reed St SE, Atlanta, GA 30315",721 Reed St SE,,Atlanta,GA,30315,Fulton,33.734998,-84.385585,Single Family,3,1.0,1032.0,1996.0,Active,2500000,2018-08-21T00:00:00.000Z,,2020-09-22T02:06:21.901Z,2024-05-01T00:00:00.000Z,2081,10890.0
"277-Wheeler-Dam-Rd,-Cohutta,-GA-30710","277 Wheeler Dam Rd, Cohutta, GA 30710",277 Wheeler Dam Rd,,Cohutta,GA,30710,Whitfield,34.934472,-84.955216,Single Family,3,2.0,1248.0,1996.0,Active,199500,2024-04-11T00:00:00.000Z,,2020-09-22T10:55:29.784Z,2024-05-01T00:00:00.000Z,21,54450.0
"73-Thelma-St,-Willacoochee,-GA-31650","73 Thelma St, Willacoochee, GA 31650",73 Thelma St,,Willacoochee,GA,31650,Atkinson,31.340054,-83.037577,Single Family,3,2.0,1560.0,1998.0,Active,85000,2024-04-12T00:00:00.000Z,,2020-09-24T06:47:42.033Z,2024-05-01T00:00:00.000Z,20,43560.0
